QUẬN HUYỆN,DIỆN TÍCH - M2,HƯỚNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ,GIÁ - TRIỆU ĐỒNG
Quận 9,69,,2,2,Đã có sổ,2650
Quận Tân Bình,74.1,,2,2,Đang chờ sổ,3970
Quận 9,46.5,Tây,1,1,Đang chờ sổ,678
Quận Tân Phú,65,,2,2,,2870
Quận 9,70,Đông Bắc,2,2,Đã có sổ,3000
Quận 7,70,,2,,Đang chờ sổ,3200
Quận 2,56.6,,2,2,,3800
Quận 11,20,Đông Bắc,1,1,Đã có sổ,1570
Quận Thủ Đức,89,,2,2,,3500
Huyện Bình Chánh,55,Nam,2,2,Giấy tờ khác,1500
Quận Bình Tân,65,,2,2,Đã có sổ,1750
Quận Bình Tân,66,Tây Bắc,2,1,Đã có sổ,1620
Quận 9,50,Bắc,2,1,Đã có sổ,1640
Quận Tân Phú,60,Nam,2,1,Đang chờ sổ,1500
Quận 12,70,,2,2,Đang chờ sổ,1920
Quận 9,68,,2,2,,2586
Quận 7,77,,2,2,Đã có sổ,3950
Quận Tân Phú,104.5,,3,2,Đang chờ sổ,4700
Quận 7,57,,2,1,Đang chờ sổ,2360
Quận 9,31,,1,1,Đang chờ sổ,910
Quận 9,59,Tây Nam,2,1,,1400
Quận 9,47,,2,1,Đã có sổ,1293
Quận Tân Phú,88,Bắc,3,2,Đang chờ sổ,3200
Quận Bình Tân,83,Bắc,3,2,Đang chờ sổ,2250
Quận 9,59,Tây,2,1,Đang chờ sổ,1256
Quận 7,76,,2,2,Đang chờ sổ,4000
Quận Tân Phú,92.5,Đông Nam,2,2,,4450
Quận 5,120,,3,2,Đã có sổ,2250
Quận Tân Phú,104,,3,2,,4700
Quận 7,60,,1,1,Đã có sổ,1390
Quận 8,80.43,,3,2,Đang chờ sổ,2001
Quận 2,66.8,,2,2,Giấy tờ khác,5500
Quận 12,57,,2,1,Đang chờ sổ,2360
Quận 9,72.17,,2,2,Đã có sổ,2850
Quận Tân Phú,84,,2,2,,4330
Quận 2,91,,3,2,Đã có sổ,5730
Quận 2,77,Tây Bắc,2,2,Đã có sổ,4700
Huyện Bình Chánh,54,,1,1,Đang chờ sổ,1750
Quận 7,130,,3,2,Đã có sổ,5000
Quận 9,90,,3,2,Giấy tờ khác,2100
Quận 7,66.66,Đông Nam,2,2,Đang chờ sổ,2360
Quận Phú Nhuận,75,,2,2,,4000
Quận Thủ Đức,57,,2,2,Đã có sổ,1900
Quận 7,62,,2,2,Đang chờ sổ,2350
Quận 2,101,Đông Nam,3,2,Giấy tờ khác,1800
Quận Thủ Đức,57,,2,2,,1200
Quận Bình Thạnh,83,,4,5,Đã có sổ,11000
Quận Bình Tân,63,Tây Bắc,2,2,Đang chờ sổ,1600
Quận 9,47,Tây Bắc,1,1,,1525
Huyện Nhà Bè,75,Bắc,2,2,,3250
Quận 6,15,Nam,1,1,Giấy tờ khác,1500
Huyện Bình Chánh,69,Đông Nam,2,2,Đang chờ sổ,2100
Quận Tân Phú,63,,2,1,Đang chờ sổ,2550
Quận Tân Phú,63,,2,1,,2450
Quận 2,71,,2,2,Đã có sổ,4700
Quận 9,72,Đông Bắc,2,2,Đang chờ sổ,2400
Quận Tân Phú,78,,2,2,,2740
Quận Thủ Đức,87,Đông Bắc,2,2,Đã có sổ,2450
Quận Thủ Đức,101,Tây Bắc,3,3,Đã có sổ,5600
Quận 8,64.68,,2,2,Đang chờ sổ,1373.1564
Quận Thủ Đức,60,Đông Nam,2,2,Đang chờ sổ,1980
Quận 2,106,,3,3,Đang chờ sổ,6900
Quận 9,64,Đông,2,2,,1200
Quận 8,68,,2,2,Đã có sổ,2800
Quận 7,65,,2,2,,3500
Quận Bình Tân,56,Đông,2,1,Đang chờ sổ,1800
Quận Bình Thạnh,50,,2,1,Giấy tờ khác,1100
Quận 8,77,Đông,2,1,Đã có sổ,1800
Quận 8,72,,2,2,,2300
Quận 9,1000,Đông Nam,2,2,Đã có sổ,4300
Quận Thủ Đức,61,Nam,2,2,Đang chờ sổ,1800
Quận Bình Tân,57,Bắc,2,1,Giấy tờ khác,2250
Quận Bình Tân,75.13,Bắc,2,2,Giấy tờ khác,2650
Huyện Nhà Bè,93,,3,2,Đang chờ sổ,1800
Quận 6,76,,2,2,,3150
Quận 10,42,,1,1,Giấy tờ khác,2300
